Input File Name,Date Created,Minimum TIC Intensity,Maximum BMU Distance
GrobMix_VF200_GC,250216_200118,NaN,NaN
x,y,totalized TIC(cts),log totalized TIC
54,243,280559,5.44802420491488
214,89,292828,5.46661260129379
215,90,310463,5.49200984975153
210,94,315024,5.49834364163251
79,139,321800,5.50758603976301
150,1,376847,5.5761650622942
21,1,396385,5.59811721155369
148,1,433086,5.63657414489119
210,93,447399,5.65069500905215
122,20,464702,5.667174541614
36,200,474139,5.67590567940287
22,1,514796,5.71163516374774
70,6,521902,5.71758896113463
53,235,550093,5.74043611853509
212,91,555882,5.74498261138837
71,6,573703,5.75868712089523
69,7,578235,5.76210437555122
149,1,643397,5.80847903156365
54,235,755147,5.87803150139692
213,91,756619,5.87887724297252
123,26,884882,5.94688536090617
70,7,1079944,6.03340123592997
213,90,1113037,6.0465096015573
36,199,1200890,6.07950322840133
4,201,1768861,6.24769370667751
214,90,2075345,6.31709030304414
62,129,2193150,6.34106833616657
