Input File Name,Date Created,Time Range [min],,m/z Range,,Noise Limit[cts],alpha,SOM,SOM x size,SOM y size,,
GrobMix_VF200_GC,250216_195941,2.0919,15,50,200,NaN,0.65,Talanta256SOM.h5,256,256,nan,nan
RT(ms),RT(min),TIC(cts),Rt(BMUs),Difference,x,y,H,S,L,R,G,B
160706,2.67843333333333,19061,2.67843333333333,1.47476899354246,70,7,0.571416538280031,0.74093360754915,0.988751859077955,0.980417733446363,0.989943651883157,0.997085984709547
160986,2.6831,18135,2.6831,1.81810628028004,69,7,0.572476508662064,0.743333695247321,0.989429271382905,0.981571692618502,0.990452971642734,0.997286850147307
161265,2.68775,18435,2.68775,1.73273281535775,69,7,0.572476508662064,0.743333695247321,0.989209834707936,0.981189141269057,0.990254785856831,0.997230528146815
161544,2.6924,18311,2.6924,1.52858719895343,71,6,0.569846626751886,0.743536736413426,0.989300538377893,0.98134509560201,0.990588051047218,0.997255981153775
161824,2.69706666666667,17712,2.69706666666667,1.5475537788314,71,6,0.569846626751886,0.743536736413426,0.989738632578692,0.982108928935113,0.990973427470824,0.99736833622227
162103,2.70171666666667,16960,2.70171666666667,1.81021097268955,165,77,0.401870431756676,0.346829098926045,0.990288479519653,0.986920241622253,0.993656717417054,0.989690432649701
162382,2.70636666666667,16911,2.70636666666667,1.60183587238772,80,9,0.561361540752311,0.70861016513973,0.990324301607216,0.983468003371264,0.992132043559784,0.997180599843169
162662,2.71103333333333,17175,2.71103333333333,1.72512820233647,70,7,0.571416538280031,0.74093360754915,0.990131292723961,0.982819235840079,0.991176928123601,0.997443349607843
162941,2.71568333333333,17538,2.71568333333333,1.76736475226285,68,9,0.57458890538142,0.735945888419988,0.989865872425304,0.982407702903983,0.990648481537692,0.997324041946625
163220,2.72033333333333,17325,2.72033333333333,1.71615240114971,153,7,0.468331693674057,0.681019519573656,0.990021619559848,0.983226147706372,0.996817091413323,0.994234678401901
163500,2.725,17199,2.725,1.68552457660301,70,6,0.57090793276944,0.745887974771889,0.99011374545729,0.982739707078349,0.991213250024872,0.997487783836231
163779,2.72965,16427,2.72965,1.37557233249507,53,234,0.90114161643762,0.712815477584436,0.990678098631261,0.997322894207414,0.984033303055109,0.99191602805224
164058,2.7343,17708,2.7343,1.50892910599832,72,6,0.568778635084394,0.74121877004337,0.989741557731549,0.982137807770767,0.991069601166424,0.997345307692331
164337,2.73895,16851,2.73895,1.82099655077792,149,1,0.474627534100104,0.709546832934259,0.990368164437687,0.983533926019104,0.99720240285627,0.995121585081543
164617,2.74361666666667,16720,2.74361666666667,1.34421870401957,53,234,0.90114161643762,0.712815477584436,0.990463927982607,0.997261387711964,0.983666468253249,0.991730298827345
164896,2.74826666666667,16151,2.74826666666667,1.7035068128825,54,235,0.90285010302867,0.714127201346465,0.99087982019568,0.997392788675116,0.984366851716244,0.991959662317301
165175,2.75291666666667,16666,2.75291666666667,1.82525080739049,69,7,0.572476508662064,0.743333695247321,0.990503401580536,0.983444259985116,0.99142307993211,0.997562543175956
165455,2.75758333333333,16938,2.75758333333333,1.61225333569118,71,6,0.569846626751886,0.743536736413426,0.990304562992214,0.983095649401343,0.991471257020667,0.997513476583085
165734,2.76223333333333,16243,2.76223333333333,1.66887358843233,70,6,0.57090793276944,0.745887974771889,0.990812582131347,0.983959797623914,0.991834365241142,0.99766536663878
166013,2.76688333333333,17193,2.76688333333333,2.02722727925826,70,7,0.571416538280031,0.74093360754915,0.990118132289656,0.982796324397708,0.991165162098472,0.997439940181605
166293,2.77155,16011,2.77155,1.52726588384669,70,31,0.586010434811315,0.624744845876282,0.990982134275682,0.98534826914361,0.99080114513162,0.996615999407754
166572,2.7762,16227,2.7762,1.51144774841614,70,7,0.571416538280031,0.74093360754915,0.99082427588424,0.984025673513274,0.991796486497484,0.997622878255206
